lastname,firstname,email,program,url
POPESCU,Diana1,test1@example.com,IA,https://my.url.ro
POPESCU,Diana2,test2@example.com,IA,https://my.url.ro
POPESCU,Diana3,test3@example.com,SSA,https://my.url.ro
POPESCU,Diana4,test4@example.com,eGov,https://my.url.ro
POPESCU,Diana5,test5@example.com,SRIC,https://my.url.ro
POPESCU,Diana6,test6@example.com,MTI,https://my.url.ro
POPESCU,Diana7,test7@example.com,SEM,https://my.url.ro
POPESCU,Diana8,test8@example.com,MTI,https://my.url.ro
POPESCU,Diana9,test9@example.com,MTI,https://my.url.ro
POPESCU,Diana10,test10@example.com,SSA,https://my.url.ro
POPESCU,Diana11,test11@example.com,MPI,https://my.url.ro
POPESCU,Diana12,test12@example.com,SCPD,https://my.url.ro
POPESCU,Diana13,test13@example.com,IA,https://my.url.ro
POPESCU,Diana14,test14@example.com,SRIC,https://my.url.ro
POPESCU,Diana15,test15@example.com,SSA,https://my.url.ro
POPESCU,Diana16,test16@example.com,CASTR,https://my.url.ro
POPESCU,Diana17,test17@example.com,SAS,https://my.url.ro
POPESCU,Diana18,test18@example.com,SRIC,https://my.url.ro
POPESCU,Diana19,test19@example.com,SSA,https://my.url.ro
POPESCU,Diana20,test20@example.com,eGov,https://my.url.ro
